0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,imgpath
207,232,-35,14,14,-38,56,-13,42,20,4,22,-12,-42,3,30,14,-18,0,-9,8,1,-38,-10,-19,-30,-6,-5,-16,20,-13,-21,-2,-9,25,17,-19,23,4,35,4,-17,7,1,-1,3,0,-3,-3,2,7,10,-1,18,0,19,0,0,-1,8,-2,-5,-8,-10,-8,1,-4,-5,-4,-8,-1,9,-1,-4,-7,0,-12,13,-10,-8,-2,1,9,-4,8,-25,3,-3,7,1,17,1,0,-1,12,12,5,3,4,-4,15,2,-6,15,0,8,15,-5,2,1,-1,2,3,5,0,6,15,10,-4,4,1,-9,-6,-16,4,0,-3,1,2,-14,2,2,-8,-7,-13,11,15,-10,6,-9,10,0,-1,-3,-1,-11,7,0,9,-14,-2,4,-12,-8,-7,-12,1,-2,9,1,-5,-6,-3,0,9,1,-2,-4,-3,-6,-3,5,-5,-6,2,-4,-4,1,8,-7,-2,-9,-1,0,-3,2,5,-3,-4,11,-9,-4,12,-1,0,-9,2,-2,0,-7,4,-2,5,0,0,-3,5,-4,1,11,-12,-6,8,-3,6,-4,-12,-3,6,-4,-1,3,-8,-3,-2,-4,0,-2,-3,3,5,9,-6,-5,-8,-8,3,1,-4,-6,4,-1,1,4,-9,2,-10,4,0,-8,0,-3,7,0,0,-7,7,-1,-3,-8,2,-3,-7,10,3,0,-1,0,-1,4,-6,4,-5,5,2,2,4,7,-2,13,6,1,-3,-9,-6,6,-5,10,-7,7,-9,2,5,4,3,0,-8,-4,-2,0,-2,0,-2,-3,-4,5,6,-6,-1,0,-3,1,2,-4,6,7,4,-1,1,-2,0,13,2,-2,-2,-6,4,-4,6,10,2,2,9,-3,0,7,3,-6,4,-8,6,-8,5,11,8,2,2,0,2,-1,-4,-1,4,-7,-4,2,6,-1,0,2,0,1,-1,-14,2,-3,-5,-2,-1,2,10,0,4,-3,-6,-10,-7,5,-9,7,-3,14,-1,-9,-2,-7,2,-2,0,-6,-2,-10,-5,1,-2,-7,-2,0,1,-4,10,1,-6,3,6,0,6,-4,-3,0,5,2,-1,-2,-3,-5,-4,-2,4,-1,0,0,-1,2,-2,2,0,-1,3,7,-2,1,0,-2,-3,-4,0,2,-2,0,0,0,0,0,0,static/images/00QdGZgE5S9Z.jpg
212,-134,30,51,-62,-9,17,9,-30,43,26,-10,-21,-9,3,-6,-17,16,5,-5,19,21,-9,14,5,1,15,-8,18,12,-4,2,2,6,-10,-21,-8,-4,-14,-22,12,-5,2,0,9,-15,1,11,-1,-6,4,10,0,0,-9,20,-14,9,3,-12,3,9,-4,0,-11,-1,-9,3,10,8,-2,-6,-5,9,-4,8,0,-2,-6,-16,10,5,5,-1,-1,-5,1,9,7,-4,4,9,0,1,7,0,0,-4,-1,10,5,2,-1,-3,-6,1,-6,6,-3,-11,-8,0,2,4,2,8,2,1,-3,-3,-2,1,0,-13,6,-4,-5,2,5,4,-16,-9,1,3,-1,0,5,4,1,-1,3,3,-5,-12,0,-3,1,1,3,0,-7,8,5,1,-3,1,-4,-3,1,6,2,2,1,2,2,2,7,5,6,0,-4,-2,3,-2,4,6,-7,2,-2,6,0,0,-4,-2,4,-9,-8,3,0,1,-2,-3,-3,-4,-2,-2,0,-11,4,0,9,0,4,-6,5,3,2,-3,-6,-9,8,-5,5,1,-4,2,-5,-3,-2,-1,0,4,-5,5,0,6,-7,-2,3,-1,0,8,3,-1,0,0,-8,-3,0,-1,-6,14,-7,0,1,-4,-3,-5,-1,-3,-1,0,-6,-1,-1,0,2,-2,-9,-5,0,1,-5,3,-2,-8,-3,5,10,3,0,-9,-5,0,7,-6,-9,-9,1,0,-2,-1,3,0,1,-6,1,-3,-3,1,-10,-2,1,4,-1,-7,8,9,0,-1,1,2,-1,0,-8,-4,2,9,0,7,4,-3,2,-5,-2,0,4,-4,-3,-4,-1,-6,1,2,0,-1,4,-6,-1,-1,1,-4,2,0,2,-6,3,-3,3,7,6,-1,7,-1,0,1,1,-1,5,-7,-10,-6,-5,-4,-8,11,2,0,-9,2,3,1,10,-4,5,-1,-4,0,0,0,3,-4,2,2,-3,0,3,3,10,0,-3,6,-4,-6,-7,-1,-9,-3,10,11,-2,-1,-6,7,5,-3,3,-2,4,8,0,-4,1,2,1,-5,-3,11,6,-1,1,3,6,0,-2,-7,10,1,-2,1,-12,2,7,0,9,0,-5,3,-6,15,0,-8,-3,-4,1,8,-5,-9,14,0,0,0,0,0,0,static/images/024HHEj9ZmZV.jpg
114,-180,26,-43,58,-25,34,13,25,-11,-33,-2,3,18,3,4,30,-1,11,-12,-30,3,8,-7,-13,10,5,12,35,-2,10,-5,12,13,-24,31,13,7,10,-2,1,-28,-3,-8,-11,19,-2,-9,-17,-8,14,-15,-6,-7,-8,11,-24,-2,5,-13,26,12,-32,0,-1,13,-3,-31,-2,11,-9,-3,14,18,-7,3,1,0,-13,-10,13,-8,-11,-6,8,-16,2,1,-2,8,-5,9,-1,-2,8,-12,-5,-1,-4,8,3,12,-2,-12,-7,8,1,-7,8,-19,2,16,9,-3,5,5,12,20,0,-1,-27,6,-7,-14,5,4,13,-7,-10,19,-10,0,4,-15,9,-5,3,7,4,1,-7,-8,5,7,10,20,-2,-14,-20,3,12,-4,-6,28,-8,-9,-11,-9,-3,4,-4,6,7,-16,-7,-7,-11,12,-19,2,8,14,5,-8,0,-14,-8,5,7,0,2,3,17,-3,7,-9,2,13,1,-20,-9,0,5,11,-9,7,-17,-6,-4,3,0,-10,-6,6,-6,1,-7,13,17,7,19,3,-3,4,-12,-3,6,-11,-8,-1,-3,-4,-8,-6,1,4,-5,10,3,4,8,0,-4,4,-4,-1,10,-1,1,-3,2,-3,0,-6,5,9,-18,-2,15,0,-6,-5,0,-5,0,7,5,2,-3,5,6,3,4,2,-7,-6,-5,2,-7,-1,-3,-4,0,-1,0,1,-1,9,7,1,1,-1,1,-6,0,6,-12,-2,-2,1,-2,-10,5,1,8,-1,1,0,-3,1,3,8,1,-4,-1,-2,-3,0,0,-6,-2,-6,-11,1,-4,-4,-7,6,0,-8,3,2,-1,1,-13,0,-7,-7,-6,-4,4,0,1,3,1,6,1,-1,-8,-1,0,8,7,3,3,6,1,2,6,0,5,-3,0,0,-3,0,0,-4,0,-3,1,0,0,7,1,-2,1,0,0,3,5,-1,3,0,-6,-4,0,2,1,-1,-2,0,-3,-2,4,2,0,0,1,3,0,-2,3,0,-2,0,0,0,-1,-1,1,1,0,0,2,0,-1,1,0,2,0,3,-2,-1,2,-1,1,-1,0,2,3,0,0,0,0,-1,1,1,2,-3,-1,2,-1,0,0,-1,2,-1,1,0,0,0,0,0,0,static/images/03r6BZtF7ptz.jpg
-121,-16,-54,10,-14,33,-3,-1,-33,23,-31,35,8,7,9,26,-10,-27,-9,26,-6,52,-30,-19,15,13,-34,-8,12,31,13,6,3,-13,-2,-2,9,4,-35,12,6,4,17,-14,-17,31,0,-16,-25,6,-8,-8,-2,14,-5,-2,21,-11,7,21,-20,-16,16,-3,8,-12,1,-27,-8,15,-11,-1,21,-13,26,39,17,-13,7,-7,-5,-15,-10,2,2,-17,-5,-11,42,-9,0,-7,4,-25,5,10,-15,-9,-8,3,-12,-12,-7,-15,5,29,7,4,-8,15,21,-39,-5,-7,6,20,0,5,5,3,-15,19,-4,-12,13,2,-3,-8,-6,-7,-20,11,-1,18,-21,-10,-4,-12,2,10,-3,0,-8,-14,11,-2,7,25,18,10,0,-8,2,15,-3,-7,-4,9,1,16,3,25,-12,1,-15,-11,-23,6,-2,1,10,-3,13,-10,12,5,-5,0,-23,11,1,-8,6,-4,11,-2,-4,-6,4,1,2,-3,4,4,1,-3,12,5,1,4,13,-1,-2,3,11,9,-12,-12,0,2,4,-4,3,6,0,1,-7,4,-10,-17,-14,3,-6,10,-10,-6,16,4,-10,-11,1,1,-2,5,6,11,-13,-9,1,0,7,-3,2,0,0,9,1,-3,0,0,1,2,4,2,0,-10,-4,1,6,1,1,-1,0,-1,-5,0,6,-1,-8,1,5,0,4,0,-3,2,5,-2,-3,5,2,4,0,0,-5,2,3,-1,2,-4,0,-2,-4,-2,0,-4,0,-9,-1,0,-2,-4,0,6,-2,1,-1,2,3,0,0,1,-1,0,1,5,3,-3,2,0,2,5,0,-3,-3,0,-3,0,-2,-5,0,0,1,0,0,-1,-2,-1,-1,0,0,6,0,3,-4,1,0,0,3,1,-3,-1,3,1,0,-1,3,3,-1,0,-1,2,0,3,2,-2,0,1,0,0,-1,-2,0,2,0,2,3,0,0,0,-1,1,1,-1,0,-1,-1,0,0,1,0,1,0,2,-1,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,1,-2,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,static/images/07mWL6TvTHn0.jpg
-95,27,30,-7,-5,-24,-11,-9,-5,18,0,-33,11,0,-32,29,1,20,-6,-11,-6,-44,0,-7,4,28,6,11,5,23,-1,-3,2,-16,0,-2,-1,-13,16,-13,8,4,27,3,-4,5,-11,10,-11,0,6,11,-24,-6,-1,8,-2,9,14,4,2,-14,6,-1,-7,-8,6,-3,-8,-16,16,7,4,-11,9,6,-2,0,7,5,10,-7,9,-4,4,-16,5,-4,-2,-7,2,-6,-5,3,3,-7,0,0,-2,-12,3,-1,-3,-8,7,-2,-9,7,-3,-4,-2,5,1,0,0,-2,1,9,2,-7,-1,9,-2,11,4,3,-4,0,-7,10,2,-8,14,-17,-19,-6,3,2,1,-4,-9,8,-6,-7,0,2,-3,3,6,-12,10,-5,7,0,-10,-14,0,-3,0,-2,7,4,-1,-8,7,0,10,9,6,-15,-10,4,-1,-6,2,-6,0,0,0,-1,13,-9,2,-15,-2,0,3,11,7,13,18,-15,-4,1,-4,-5,0,-6,0,-2,-2,12,-2,3,0,-1,-5,1,4,0,-3,-1,-13,-13,-1,6,0,6,-3,-3,-6,8,-6,7,0,-2,-11,0,-8,1,1,10,-1,-17,-1,-8,-1,-7,-4,2,-6,-1,-7,-11,-6,-8,1,-8,-2,6,7,10,3,-13,-4,9,1,7,8,-9,-1,3,9,-7,-2,-8,-8,-2,5,7,7,6,11,-7,-4,-6,3,-12,1,-5,-6,-2,-2,-3,-2,0,-4,3,3,2,7,-3,5,16,0,-6,1,-4,-9,2,2,2,-10,-8,-7,4,0,2,-1,0,-4,-11,0,1,-1,-6,2,-4,-14,-3,9,-6,1,-5,-3,-5,4,9,0,-5,0,8,2,-9,1,5,-3,3,7,-9,2,14,-1,7,-3,8,-3,-6,-11,0,6,3,-8,9,0,-6,2,0,0,1,-5,-3,1,1,0,11,1,-2,11,-7,-4,3,3,-2,0,4,-6,0,-13,-1,4,-1,5,5,2,-5,0,1,3,-7,-2,0,-1,0,-3,-6,-6,0,-2,5,3,3,5,-6,-5,-9,-2,0,0,-1,0,1,0,-2,-1,-5,0,0,-3,-2,2,2,0,-3,0,2,-6,3,1,5,-2,0,1,3,0,-1,0,0,1,0,0,0,0,0,0,static/images/0eG0Lgx3dq2c.jpg
-122,-25,-70,24,2,8,-7,-4,13,16,1,3,-3,-6,3,-10,-15,26,-5,-33,-25,17,2,5,-34,-7,-9,16,-40,-9,-13,-7,1,2,-4,-7,-2,4,-1,-9,-2,-27,10,24,-2,-2,-7,19,-4,-13,-13,15,22,-9,1,-7,7,3,1,-2,8,-4,-33,0,-6,-10,-8,32,0,0,37,1,-6,14,-13,17,-21,-10,19,-4,0,0,1,-17,0,6,-5,32,3,0,-6,-21,-11,-8,4,8,-1,-4,-11,-6,-2,18,10,13,12,-9,9,-19,13,-5,4,13,6,12,5,-16,-8,7,7,-1,-1,27,1,11,1,-4,2,-20,-6,-7,21,3,-15,13,-8,-7,-13,-8,-3,9,14,-14,5,-8,7,-5,5,-11,7,0,-2,-6,-10,17,8,0,-1,0,0,12,-7,-3,-3,-6,8,-5,-3,-16,11,-10,10,-4,11,0,16,3,-9,-4,-13,-3,1,-8,4,8,-13,3,9,4,0,-5,0,8,-5,-16,-5,-5,6,1,-4,-1,0,-3,-15,8,-13,6,3,-4,-3,7,9,-2,0,3,-18,3,4,12,-4,5,-1,13,-10,-15,-2,12,2,-10,-15,-9,13,-10,-3,-8,15,-7,6,2,-2,-14,0,-5,7,5,-1,3,-11,2,-2,-5,-7,-1,0,-2,-3,1,5,-8,7,-10,1,0,0,5,-7,0,-6,0,0,6,5,2,-1,0,3,7,-2,-9,-5,2,0,10,0,-7,1,7,-3,0,4,1,-5,-3,-2,6,3,-11,22,-7,5,-2,-2,0,-1,2,-2,4,0,8,0,-4,5,-3,-5,-3,-4,-2,-9,-8,-4,2,-4,0,4,-3,6,-3,0,1,6,6,1,-7,-5,-2,-2,0,4,1,0,-2,-5,-7,-8,0,0,-2,-2,0,0,0,-4,2,0,0,-1,-5,-3,0,-3,-1,0,1,0,0,5,0,0,0,-4,-2,1,-5,-4,4,3,-1,4,-1,-1,0,-2,-1,1,2,-1,3,3,0,-1,1,-3,2,0,0,-2,0,0,0,-3,0,-1,-4,1,-1,-3,-2,-5,1,-2,2,1,0,-2,-2,-2,0,3,0,0,0,0,-2,-1,4,1,-1,0,1,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,static/images/0iqZuMZ712bm.jpg
-98,-42,-35,-34,-42,76,22,-38,-20,28,-33,49,1,-5,49,0,100,-40,7,-23,37,-10,21,-33,34,72,-59,18,19,13,-28,-8,-34,119,41,34,-50,19,-11,-3,-31,64,27,-31,-47,-28,14,9,51,-15,-19,-19,14,-14,15,29,-16,-4,32,-8,23,-30,-34,-7,12,-11,-29,58,4,-37,0,0,1,7,-12,-22,-18,-10,19,-20,18,28,-7,7,-7,-13,-18,-18,-9,13,-5,-5,9,6,1,-19,-5,-7,-16,19,8,-10,-7,17,-13,2,-17,12,-6,9,-2,-27,-1,-7,1,5,-1,19,3,13,0,8,-7,0,-18,-3,-7,0,-2,-1,1,10,-2,-2,-15,-4,-5,3,-5,-5,-6,7,-2,-5,8,1,-1,-13,2,11,7,7,1,-1,0,-2,4,8,-4,1,1,0,-3,4,0,0,-5,0,1,0,1,-1,-7,-5,6,-9,0,-1,0,-2,5,1,-1,-2,0,5,1,2,7,-1,-1,0,-3,-6,0,-6,2,-3,0,-2,-2,1,2,3,3,-5,0,0,-3,-1,2,-4,2,0,-2,-2,5,-1,0,0,1,0,0,1,-1,-1,1,-3,0,0,-2,2,5,0,-1,0,0,2,0,-3,0,2,0,-3,1,0,1,-1,-1,0,-1,1,-2,0,0,0,-1,0,2,6,1,0,-3,1,-1,0,-2,0,-4,1,0,0,0,-4,2,0,0,1,1,2,0,0,0,0,0,-1,0,0,1,-2,0,0,0,0,0,-1,-2,1,-3,1,0,0,1,0,0,-1,0,0,1,1,0,0,0,0,-1,0,0,-1,2,0,-2,1,0,0,-1,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,1,0,3,2,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,static/images/0ix46D4TGlCn.jpg
-127,-29,-92,80,29,-30,-25,7,23,-56,26,-33,-39,20,-42,10,16,1,14,8,38,-47,-9,37,7,-4,-2,-5,26,4,16,-21,8,-13,27,28,-12,15,43,13,29,0,7,0,-27,-15,28,-16,-11,-6,-7,3,6,-7,8,-18,-10,-9,1,-5,-5,1,23,18,7,-9,-13,14,0,12,2,-6,-2,-10,5,4,-13,-4,6,-2,14,-8,9,2,-6,6,-26,-1,16,-19,8,-21,9,0,7,-1,-2,-24,3,10,6,8,13,-11,17,8,7,-18,-1,-20,-9,-7,6,-7,-12,-2,6,18,12,3,-17,-10,10,1,-21,-11,-3,-13,0,-5,-12,10,11,-1,7,9,-8,-11,-6,11,2,6,8,7,15,-5,7,-13,1,-6,-15,2,5,-8,-15,-3,-11,6,3,3,2,-5,-3,-2,0,17,-6,3,7,9,-2,-14,4,-2,2,21,1,-3,1,7,-1,1,5,0,3,1,5,-3,8,-6,8,-9,2,-3,-5,21,0,0,-4,-12,-3,-1,-5,-4,-2,-4,10,-1,6,-8,10,2,0,-4,4,9,-1,-10,-2,-12,1,-20,7,0,2,0,0,6,-6,0,-4,-1,1,12,0,-6,0,-1,3,14,-8,3,4,0,11,3,7,-4,-7,-2,1,-2,-6,-3,0,-1,1,2,7,-3,-7,5,-2,4,-3,-1,-11,-7,-3,-1,7,-1,-8,0,2,-1,-10,0,-5,-4,2,1,1,3,-2,2,-9,-5,-4,-1,0,-4,5,-8,-3,-6,10,-7,-6,0,6,9,-2,-2,-2,-5,-3,-1,-4,0,0,1,5,-1,4,0,-7,2,-2,0,1,2,4,0,13,-5,3,3,2,2,-1,1,7,2,2,6,2,-7,9,-7,6,-5,0,0,11,-4,-2,-3,0,6,3,0,7,3,0,0,-3,2,-9,0,2,3,-4,1,1,-5,5,-6,-4,-4,0,0,-1,0,-1,3,-6,5,-1,6,6,0,0,0,7,0,2,-3,-1,0,6,2,-1,1,5,4,2,0,1,5,1,0,0,3,1,0,5,0,2,2,-4,-2,1,-2,0,-2,-1,0,-3,0,0,1,1,2,-4,0,0,2,-2,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,static/images/0J6wdeAA5Kk5.jpg
-116,4,-2,-29,-3,1,23,36,-5,14,4,1,14,-22,18,4,-24,-4,15,12,-10,6,9,16,-16,25,14,-7,0,-2,22,11,-12,-1,7,-15,17,-4,17,6,-7,6,1,10,-6,7,-21,-14,5,-4,2,8,14,-8,-8,17,-6,4,-9,-7,4,-16,20,-6,-10,-8,-1,-5,6,-15,8,-3,13,-7,4,-5,12,-11,1,13,-9,15,12,-3,8,-5,-12,-17,-7,-2,-6,22,24,-2,-3,2,2,3,14,8,4,-4,0,18,-5,-14,-23,6,14,0,7,8,10,19,5,-9,-25,-7,10,-8,-2,10,11,0,11,-11,19,4,13,25,9,9,-3,-6,-1,-5,3,-15,-3,-5,0,-7,6,-15,10,5,10,-6,3,-6,-5,3,11,-7,-9,11,-7,5,5,7,12,7,0,6,-8,0,9,18,2,-12,-7,1,0,-1,-1,1,17,6,-7,-6,11,6,5,1,-20,1,1,-8,9,2,1,-14,7,-6,10,13,6,-1,6,-17,2,0,14,0,0,-3,0,9,8,2,-4,11,-15,0,-7,4,-6,9,3,2,0,-4,7,0,-6,-3,8,0,-2,-2,19,6,14,13,-8,8,-3,8,2,-10,12,-7,7,-8,8,6,-10,-2,13,8,3,2,3,14,4,-4,-4,1,-3,-1,-5,-11,-2,4,-4,-12,14,0,-12,6,-2,-1,1,-3,-2,0,-13,2,-7,-1,6,16,5,-2,1,4,-3,4,-15,0,12,-5,1,10,-7,8,6,0,5,-3,0,6,0,-3,9,9,-10,2,-4,0,7,-2,-4,-10,-1,-1,-9,3,-5,-3,1,0,-2,-1,0,-3,0,-2,2,6,-1,1,-4,5,0,-3,-7,-5,0,-3,1,-2,3,-1,2,1,4,-7,6,1,-6,2,9,5,-3,-3,2,2,-3,-1,-2,0,0,-2,0,0,4,0,6,-3,-6,2,0,-3,-1,-1,4,1,0,0,0,1,0,0,-6,0,-4,0,1,-1,1,-4,-4,3,-1,3,1,0,4,0,-2,-2,-3,0,0,2,2,0,-2,1,0,-1,1,1,2,2,0,-1,-2,0,0,1,1,-1,0,0,2,0,-1,2,0,0,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,static/images/0L2rGFRqN1P4.jpg
25,-68,5,-73,0,-1,-57,-72,46,-72,0,9,39,-4,-28,7,-13,-15,8,-3,-11,-16,8,13,35,-17,7,19,24,-20,0,14,-8,-7,14,-16,-14,-8,-38,-20,4,3,14,7,-14,9,13,-2,11,-3,12,10,13,-3,-9,0,7,-12,0,4,8,-5,20,0,12,19,0,12,1,0,6,18,-9,-7,-3,4,20,-12,-6,-11,18,8,19,21,-2,-1,1,5,2,4,6,0,0,-2,-4,0,0,2,8,0,-16,8,2,1,5,-7,-3,-27,6,11,-10,17,2,11,14,12,14,18,-11,-14,-14,25,-15,10,-3,-4,-13,8,0,-23,-4,-2,0,1,4,-17,-4,-14,4,3,-5,0,-4,-20,0,1,-1,14,8,14,-8,-8,0,-10,11,15,10,-14,12,5,-8,-1,4,9,0,3,20,7,-2,11,-15,-3,8,-5,-10,2,-19,-4,6,-11,15,-16,-9,6,-4,-3,-13,-3,9,13,9,-11,6,3,-9,9,17,-7,-17,-4,5,-6,3,14,-4,-6,2,14,0,-15,-2,-1,-20,-2,2,-3,5,-2,2,-3,1,9,-4,3,-3,0,3,8,6,-4,4,0,2,-6,1,-1,5,-3,-1,4,9,5,4,-8,1,-2,3,-3,-1,-3,-10,-7,-4,2,5,2,4,-10,12,8,-6,4,0,0,5,-4,-11,0,-8,-6,3,-8,8,4,11,4,6,13,7,-2,13,-3,1,-3,4,0,-1,4,6,-3,-10,1,3,-1,6,0,1,-3,6,-5,1,-6,-4,-2,1,-8,-7,-3,6,1,-1,-11,-5,0,0,3,0,6,4,-2,-2,-4,-7,1,3,-6,-1,-1,-6,2,-6,4,0,0,-5,0,-2,3,1,0,-3,0,5,0,0,2,5,-3,6,-6,1,3,2,-4,0,1,2,-3,3,1,3,-3,0,-1,0,0,-1,0,0,3,3,0,-1,0,-5,0,3,-5,0,0,3,5,0,-2,-4,0,0,2,-4,-4,0,3,2,0,-1,1,-1,-1,1,-1,-2,-5,0,0,0,1,3,0,2,-4,2,0,-4,2,2,-1,-1,-2,0,0,3,0,0,2,0,0,0,-1,0,-1,0,0,2,0,-2,0,0,-1,1,0,0,0,0,0,0,static/images/0L5T9dDP6AFx.jpg
