min,max,mean,var,std
0.0,154.31273,49.727455,1474.605,38.400585
0.0,7658.795,1088.4279,1413065.5,1188.7244
0.0,87.51454,27.272375,344.64542,18.564629
0.0,140.53696,55.765858,1159.1678,34.046555
0.0,7158.271,1566.143,1864882.9,1365.6072
0.0,84.60657,34.92353,346.48993,18.61424
0.0,145.27138,49.44565,1287.8184,35.88619
0.0,6485.624,1210.9814,1429549.8,1195.6378
0.0,80.53337,29.977789,312.31366,17.672398
0.0,159.52963,60.4027,918.73737,30.31068
0.0,6588.245,2154.7969,2103762.0,1450.435
0.0,81.16801,43.272083,282.32373,16.802492
1.2420977,160.36473,73.114975,943.1045,30.710007
15.155871,6790.4033,2251.4055,2469839.0,1571.5721
3.8930542,82.4039,44.052708,310.76456,17.628515
0.0,157.45982,61.147335,947.84454,30.787085
0.0,7100.5015,2191.292,2374842.2,1541.0522
0.0,84.26447,43.38588,308.9574,17.577185
0.0,150.3571,53.409412,1406.6176,37.5049
0.0,7084.4253,1848.4846,2396356.5,1548.017
0.0,84.16903,38.050495,400.6444,20.016104
0.0,150.88731,54.474957,1251.075,35.370537
0.0,6982.008,2069.358,2388682.2,1545.5363
0.0,83.55841,41.146797,376.29886,19.398424
0.0,154.84195,52.082546,1406.8616,37.508156
0.0,7382.8643,1795.2021,2330206.2,1526.5013
0.0,85.92359,37.59672,381.6887,19.536854
0.0,239.00006,48.13235,2294.8967,47.90508
0.0,8906.178,1449.0345,2881777.5,1697.5798
0.0,94.37255,30.434605,522.76935,22.864151
0.0,218.30527,47.95413,1896.5277,43.54914
0.0,10667.748,1817.0868,3374625.5,1837.0154
0.0,103.28479,36.812695,461.91223,21.492144
0.0,236.34964,46.780273,1928.6973,43.916935
0.0,9884.916,1556.1663,2819623.0,1679.1733
0.0,99.42291,32.845932,477.31097,21.847448
0.0,230.04712,59.08697,1645.5001,40.564766
0.0,11472.869,3018.0837,5668308.5,2380.821
0.0,107.11148,50.247967,493.22568,22.208685
0.17100127,216.0448,73.56698,2078.487,45.590427
1.7043549,11867.038,3685.134,5584836.0,2363.2258
1.3055094,108.935936,57.103733,424.29773,20.598488
0.0,180.01114,62.97265,1768.1372,42.049225
0.0,12611.89,3253.7625,6288354.5,2507.6592
0.0,112.302666,52.321423,516.23096,22.720716
0.0,207.85683,41.19754,1211.8065,34.811012
0.0,9877.07,1983.0973,4461991.0,2112.3425
0.0,99.38345,37.88836,547.5696,23.400206
0.0,210.33737,50.19548,1508.074,38.833927
0.0,11760.143,2950.7964,6888027.5,2624.5051
0.0,108.44419,47.82338,663.7209,25.762781
0.0,212.20787,41.51048,1384.0009,37.20216
0.0,9551.642,1900.1595,3968979.2,1992.2297
0.0,97.7325,37.1495,520.07404,22.805132
1.8153735,255.0,168.4583,4301.5947,65.58655
0.0,10185.138,2207.66,3759130.2,1938.8477
0.0,100.92144,41.04765,522.7506,22.86374
19.228924,254.17143,167.71097,3112.367,55.78859
0.14204082,12579.444,3225.4468,5094884.0,2257.185
0.37688303,112.15812,52.628223,455.71707,21.34753
0.21138649,255.0,167.47122,3970.2888,63.010227
0.0,9831.453,2453.0696,3991634.5,1997.9075
0.0,99.15369,44.47546,475.00284,21.79456
25.042587,242.62633,142.55785,1993.4802,44.648407
19.178679,11938.727,4334.4023,5066149.5,2250.8108
4.379347,109.26448,63.652615,282.7469,16.815079
33.16325,230.1479,133.74455,1609.5847,40.11963
290.4951,11505.84,4486.1294,3592017.8,1895.262
17.043917,107.26528,65.50057,195.80455,13.993018
28.301937,242.9391,141.27267,1999.4434,44.715134
161.92583,11331.7705,4221.3833,4993869.5,2234.6968
12.725008,106.45079,62.681946,292.35696,17.098448
23.31789,248.62952,146.49095,2346.4124,48.43978
3.0312912,12502.666,3631.6687,7271950.5,2696.6555
1.7410604,111.81532,55.817192,516.10986,22.718052
18.362778,252.26808,137.84167,2289.7969,47.85182
36.968403,13136.069,4114.845,7059966.0,2657.0596
6.0801644,114.61269,60.50004,454.59067,21.321133
28.94414,251.27362,148.74864,2621.534,51.200916
72.224556,12271.679,3358.7773,6126652.0,2475.2075
8.498504,110.77761,53.93783,449.48782,21.201128
0.014307528,0.1593734,0.048033923,0.0005208484,0.022822103
0.004460303,0.10304288,0.029685274,0.00010626418,0.010308452
0.0038655961,0.07199047,0.027000526,6.009594e-05,0.0077521573
0.0047576567,0.05447814,0.026592946,5.40704e-05,0.007353258
0.008513536,0.050772265,0.025671555,5.707068e-05,0.007554514
0.0076621827,0.045993883,0.023713164,4.487168e-05,0.0066986326
0.005117566,0.060183488,0.021271251,4.1175488e-05,0.006416813
0.0056616343,0.04801575,0.019511871,3.3730565e-05,0.005807802
0.0059946715,0.12191496,0.025177393,0.00016154179,0.012709909
0.0049792533,0.18703538,0.02635953,0.00019987237,0.014137623
0.008298756,0.08943275,0.020509344,3.8625312e-05,0.0062149265
0.0058091288,0.044880174,0.0227771,4.158016e-05,0.006448268
0.008028546,0.045724336,0.02432646,4.552827e-05,0.006747464
0.0065417783,0.05923168,0.02586195,6.615275e-05,0.008133434
0.0074338387,0.062330622,0.027334899,8.121335e-05,0.009011845
0.0062444247,0.068554625,0.028457774,8.531585e-05,0.009236658
0.0050550103,0.07841301,0.030406471,9.218011e-05,0.009601047
0.010407374,0.14404903,0.046715155,0.00037442567,0.019350082
0.013381747,0.18014643,0.04912813,0.0005729425,0.023936218
0.0035682425,0.1,0.03171365,0.00015545283,0.012468073
